年齢 死亡率 生存数 死亡数 定常人口 - 平均余命
x nqx lx ndx nLx Tx ex
0 0.00184 100000 184 99857 8109417 81.09
1 0.00027 99816 27 99803 8009560 80.24
2 0.00020 99789 20 99780 7909757 79.26
3 0.00014 99769 14 99762 7809977 78.28
4 0.00011 99755 11 99750 7710215 77.29
5 0.00009 99744 9 99740 7610466 76.30
6 0.00008 99736 8 99732 7510726 75.31
7 0.00007 99728 7 99724 7410994 74.31
8 0.00007 99720 7 99717 7311270 73.32
9 0.00006 99713 6 99710 7211553 72.32
10 0.00006 99707 6 99704 7111843 71.33
11 0.00007 99701 7 99697 7012140 70.33
12 0.00009 99693 9 99689 6912442 69.34
13 0.00012 99685 12 99679 6812753 68.34
14 0.00015 99673 15 99666 6713074 67.35
15 0.00018 99658 18 99650 6613408 66.36
16 0.00022 99640 22 99630 6513759 65.37
17 0.00027 99618 27 99605 6414129 64.39
18 0.00032 99592 32 99576 6314524 63.40
19 0.00038 99560 37 99541 6214948 62.42
20 0.00043 99522 42 99501 6115406 61.45
21 0.00046 99480 45 99457 6015905 60.47
22 0.00047 99434 47 99411 5916448 59.50
23 0.00048 99387 48 99363 5817037 58.53
24 0.00049 99339 49 99315 5717674 57.56
25 0.00050 99290 50 99265 5618359 56.59
26 0.00051 99240 50 99215 5519094 55.61
27 0.00051 99190 51 99164 5419879 54.64
28 0.00052 99139 51 99113 5320715 53.67
29 0.00054 99088 53 99061 5221601 52.70
30 0.00055 99035 54 99008 5122540 51.72
31 0.00056 98981 55 98953 5023532 50.75
32 0.00058 98925 58 98897 4924579 49.78
33 0.00062 98868 61 98838 4825682 48.81
34 0.00068 98806 67 98774 4726844 47.84
35 0.00073 98740 72 98704 4628071 46.87
36 0.00077 98668 76 98630 4529367 45.91
37 0.00082 98591 81 98551 4430737 44.94
38 0.00089 98510 87 98467 4332186 43.98
39 0.00096 98423 94 98377 4233719 43.02
40 0.00102 98329 100 98279 4135342 42.06
41 0.00108 98229 106 98176 4037063 41.10
42 0.00113 98123 111 98068 3938887 40.14
43 0.00121 98011 119 97953 3840819 39.19
44 0.00132 97893 130 97829 3742866 38.23
45 0.00147 97763 143 97693 3645037 37.28
46 0.00162 97620 158 97542 3547344 36.34
47 0.00179 97462 175 97376 3449802 35.40
48 0.00198 97287 193 97192 3352426 34.46
49 0.00220 97094 213 96989 3255234 33.53
50 0.00243 96881 235 96765 3158245 32.60
51 0.00269 96646 260 96518 3061479 31.68
52 0.00299 96385 288 96244 2964962 30.76
53 0.00329 96097 317 95941 2868718 29.85
54 0.00363 95781 347 95610 2772777 28.95
55 0.00399 95433 381 95246 2677167 28.05
56 0.00440 95052 419 94846 2581921 27.16
57 0.00484 94634 458 94408 2487075 26.28
58 0.00530 94176 499 93930 2392667 25.41
59 0.00579 93677 542 93409 2298737 24.54
60 0.00633 93135 590 92844 2205328 23.68
61 0.00700 92545 648 92226 2112484 22.83
62 0.00780 91897 717 91545 2020258 21.98
63 0.00867 91180 790 90791 1928713 21.15
64 0.00957 90390 865 89963 1837922 20.33
65 0.01049 89524 939 89061 1747959 19.52
66 0.01148 88586 1017 88084 1658897 18.73
67 0.01263 87568 1106 87023 1570814 17.94
68 0.01397 86462 1208 85867 1483790 17.16
69 0.01550 85254 1322 84603 1397923 16.40
70 0.01724 83932 1447 83220 1313320 15.65
71 0.01913 82486 1578 81708 1230100 14.91
72 0.02125 80907 1719 80060 1148393 14.19
73 0.02361 79188 1870 78266 1068333 13.49
74 0.02601 77318 2011 76324 990067 12.81
75 0.02839 75307 2138 74248 913743 12.13
76 0.03109 73169 2275 72043 839495 11.47
77 0.03432 70894 2433 69691 767451 10.83
78 0.03820 68460 2615 67169 697760 10.19
79 0.04270 65845 2812 64456 630592 9.58
80 0.04773 63033 3009 61545 566136 8.98
81 0.05294 60025 3178 58450 504591 8.41
82 0.05891 56847 3349 55187 446141 7.85
83 0.06605 53498 3534 51747 390954 7.31
84 0.07449 49964 3722 48119 339207 6.79
85 0.08414 46243 3891 44310 291088 6.29
86 0.09494 42352 4021 40351 246778 5.83
87 0.10708 38331 4105 36284 206427 5.39
88 0.12056 34227 4126 32163 170144 4.97
89 0.13556 30100 4080 28053 137981 4.58
90 0.15182 26020 3950 24029 109928 4.22
91 0.16762 22069 3699 20196 85899 3.89
92 0.18601 18370 3417 16636 65703 3.58
93 0.20610 14953 3082 13382 49067 3.28
94 0.22798 11871 2706 10486 35684 3.01
95 0.25176 9165 2307 7977 25199 2.75
96 0.27750 6858 1903 5873 17221 2.51
97 0.30524 4955 1512 4167 11349 2.29
98 0.33502 3442 1153 2837 7182 2.09
99 0.36683 2289 840 1845 4344 1.90
100 0.40062 1449 581 1140 2499 1.72
101 0.43630 869 379 665 1359 1.56
102 0.47370 490 232 364 695 1.42
103 0.51261 258 132 185 331 1.28
104 0.55275 126 69 87 146 1.16
105 1.00000 56 56 59 59 1.05
