年齢 死亡率 生存数 死亡数 定常人口 - 平均余命
x nqx lx ndx nLx Tx ex
0 0.00175 100000 175 99866 8713993 87.14
1 0.00024 99825 24 99813 8614127 86.29
2 0.00018 99802 18 99793 8514314 85.31
3 0.00013 99784 13 99777 8414521 84.33
4 0.00010 99771 10 99766 8314743 83.34
5 0.00008 99761 8 99757 8214977 82.35
6 0.00007 99753 7 99749 8115220 81.35
7 0.00006 99746 6 99743 8015471 80.36
8 0.00006 99740 6 99737 7915728 79.36
9 0.00006 99734 6 99731 7815992 78.37
10 0.00006 99728 6 99725 7716261 77.37
11 0.00007 99722 7 99718 7616536 76.38
12 0.00008 99715 8 99711 7516818 75.38
13 0.00010 99707 9 99703 7417107 74.39
14 0.00012 99698 12 99692 7317404 73.40
15 0.00015 99686 14 99679 7217712 72.40
16 0.00018 99672 18 99663 7118033 71.41
17 0.00021 99654 20 99644 7018370 70.43
18 0.00023 99633 23 99622 6918726 69.44
19 0.00026 99610 26 99597 6819104 68.46
20 0.00027 99584 27 99571 6719507 67.48
21 0.00028 99557 28 99543 6619936 66.49
22 0.00028 99529 28 99515 6520393 65.51
23 0.00029 99501 28 99487 6420878 64.53
24 0.00028 99473 28 99459 6321390 63.55
25 0.00028 99445 28 99431 6221932 62.57
26 0.00027 99417 27 99403 6122501 61.58
27 0.00026 99389 26 99376 6023098 60.60
28 0.00026 99363 26 99350 5923722 59.62
29 0.00027 99337 27 99324 5824372 58.63
30 0.00028 99310 28 99296 5725048 57.65
31 0.00030 99282 30 99267 5625752 56.66
32 0.00032 99252 32 99236 5526485 55.68
33 0.00035 99220 35 99203 5427249 54.70
34 0.00038 99186 38 99167 5328045 53.72
35 0.00041 99148 41 99128 5228878 52.74
36 0.00043 99107 43 99086 5129750 51.76
37 0.00046 99064 45 99042 5030664 50.78
38 0.00049 99019 48 98995 4931622 49.80
39 0.00054 98970 53 98944 4832627 48.83
40 0.00059 98917 59 98888 4733683 47.85
41 0.00065 98858 64 98827 4634795 46.88
42 0.00070 98794 69 98760 4535968 45.91
43 0.00075 98726 74 98689 4437208 44.94
44 0.00081 98652 79 98613 4338519 43.98
45 0.00088 98572 86 98530 4239906 43.01
46 0.00095 98486 94 98440 4141376 42.05
47 0.00105 98392 103 98341 4042936 41.09
48 0.00116 98289 114 98233 3944595 40.13
49 0.00130 98174 128 98112 3846362 39.18
50 0.00146 98046 143 97976 3748251 38.23
51 0.00160 97904 157 97826 3650275 37.28
52 0.00175 97747 171 97662 3552448 36.34
53 0.00188 97576 183 97485 3454786 35.41
54 0.00200 97392 194 97296 3357301 34.47
55 0.00211 97198 205 97096 3260005 33.54
56 0.00222 96993 216 96886 3162909 32.61
57 0.00237 96777 230 96664 3066022 31.68
58 0.00256 96548 247 96426 2969359 30.76
59 0.00278 96301 267 96169 2872933 29.83
60 0.00300 96034 288 95891 2776763 28.91
61 0.00322 95746 309 95593 2680872 28.00
62 0.00346 95437 330 95274 2585279 27.09
63 0.00372 95107 354 94932 2490005 26.18
64 0.00402 94753 381 94565 2395073 25.28
65 0.00437 94371 412 94168 2300509 24.38
66 0.00474 93959 446 93740 2206341 23.48
67 0.00519 93514 486 93274 2112601 22.59
68 0.00572 93028 532 92766 2019327 21.71
69 0.00633 92496 585 92208 1926561 20.83
70 0.00703 91911 646 91593 1834353 19.96
71 0.00781 91265 713 90914 1742760 19.10
72 0.00872 90552 789 90164 1651846 18.24
73 0.00978 89763 878 89331 1561682 17.40
74 0.01093 88885 971 88407 1472350 16.56
75 0.01215 87913 1068 87388 1383943 15.74
76 0.01357 86845 1178 86266 1296556 14.93
77 0.01532 85667 1312 85023 1210289 14.13
78 0.01742 84355 1469 83634 1125266 13.34
79 0.01988 82885 1647 82077 1041632 12.57
80 0.02269 81238 1843 80333 959555 11.81
81 0.02581 79394 2049 78388 879222 11.07
82 0.02965 77345 2294 76220 800834 10.35
83 0.03438 75052 2580 73787 724613 9.65
84 0.04004 72471 2902 71048 650826 8.98
85 0.04654 69569 3237 67979 579778 8.33
86 0.05374 66332 3565 64577 511800 7.72
87 0.06202 62767 3893 60848 447223 7.13
88 0.07170 58875 4222 56791 386374 6.56
89 0.08305 54653 4539 52408 329584 6.03
90 0.09579 50114 4801 47732 277175 5.53
91 0.10970 45314 4971 42838 229443 5.06
92 0.12427 40343 5014 37835 186605 4.63
93 0.14063 35329 4968 32839 148770 4.21
94 0.16060 30361 4876 27914 115931 3.82
95 0.18687 25485 4762 23087 88017 3.45
96 0.21209 20723 4395 18487 64930 3.13
97 0.23876 16328 3898 14333 46443 2.84
98 0.26690 12429 3317 10720 32110 2.58
99 0.29647 9112 2701 7710 21390 2.35
100 0.32744 6410 2099 5312 13680 2.13
101 0.35974 4311 1551 3493 8368 1.94
102 0.39328 2760 1086 2183 4875 1.77
103 0.42794 1675 717 1290 2692 1.61
104 0.46358 958 444 717 1402 1.46
105 1.00000 514 514 685 685 1.33
